Date,2015-01-05,
Name,Code,Market Value,Index value,
Syntax US Energy Products & Services Index (TR),SUEST,96752.3591441,967.52,
Syntax US Industrial Products & Services Index (PR),SUISP,97307.8913187,973.08,
Syntax US Industrial Products & Services Index (TR),SUIST,97313.1051603,973.13,
Syntax US Information Tools Index (PR),SUITP,98137.7655704,981.38,
Syntax US Information Tools Index (TR),SUITT,98149.0486667,981.49,
Syntax US Information Products & Services Index (PR),SUIPP,97964.3389264,979.64,
Syntax US Information Products & Services Index (TR),SUIPT,97967.2173666,979.67,
Syntax US Consumer Products & Services Index (PR),SUCSP,97853.977422,978.54,
Syntax US Consumer Products & Services Index (TR),SUCST,97862.1696666,978.62,
Syntax US Food Products & Services Index (PR),SUFPP,98711.7781095,987.12,
Syntax US Healthcare Products & Services Index (PR),SUHPP,99498.8357583,994.99,
Syntax US Healthcare Products & Services Index (TR),SUHPT,99498.8357583,994.99,
Syntax US Food Products & Services Index (TR),SUFPT,98711.7781095,987.12,
Syntax US Energy Products & Services Index (PR),SUESP,96749.679975,967.50,
