ticker,isin,localcurrency,localprice,convertedprice,currencyfactor
"ATLN VX Equity",CH0010532478,CHF,117.7,116.905045689,1.006800
"TA CN Equity",CA89346D1078,CAD,10.6,9.02358048864,1.174700
"BB CN Equity",CA09228F1036,CAD,12.65,10.7687069039,1.174700
"CMPC CI Equity",CL0000001314,CLP,1473.9,2.38881685575,617.000000
"NOK1V FH Equity",FI0009000681,EUR,6.41,7.6509906899,.837800
"RI FP Equity",FR0000120693,EUR,89.11,106.361900215,.837800
"SU FP Equity",FR0000121972,EUR,57.34,68.441155407,.837800
"9843 JP Equity",JP3756100008,JPY,6510,54.4405418966,119.580000
"SKFB SS Equity",SE0000108227,SEK,165.1,20.8446436462,7.920500
"ABBN VX Equity",CH0012221716,CHF,20.55,20.4112038141,1.006800
"DRX LN Equity",GB00B1VNSX38,GBp,421.5,6.42922513728,.655600
"DGE LN Equity",GB0002374006,GBp,1821,27.7760829774,.655600
"KYG ID Equity",IE0004906560,EUR,57.1,68.154690857,.837800
"2802 JP Equity",JP3119600009,JPY,2240,18.7322294698,119.580000
"RDSA LN Equity",GB00B03MLX29,GBp,2080,31.7266625991,.655600
"RDSB LN Equity",GB00B03MM408,GBp,2128.5,32.466442953,.655600
"GIVN VX Equity",CH0010645932,CHF,1821,1808.70083433,1.006800
"TATE LN Equity",GB0008754136,GBp,597.5,9.11378889567,.655600
"BP/ LN Equity",GB0007980591,GBp,389.7,5.94417327639,.655600
"000660 KS Equity",KR7000660001,KRW,47650,42.9399201579,1109.690000
"NESN VX Equity",CH0038863350,CHF,71.8,71.3150576083,1.006800
"ABF LN Equity",GB0006731235,GBp,3096,47.2239170226,.655600
"OR FP Equity",FR0000120321,EUR,134.15,160.121747434,.837800
"BEI GR Equity",DE0005200000,EUR,65.76,78.4912867033,.837800
"MRK GR Equity",DE0006599905,EUR,77.89,92.9696825018,.837800
"BAYN GR Equity",DE000BAY0017,EUR,109.61,130.830747195,.837800
"4911 JP Equity",JP3351600006,JPY,1700,14.2164241512,119.580000
"ROG VX Equity",CH0012032048,CHF,275.3,273.440603894,1.006800
"CPU AU Equity",AU000000CPU5,AUD,11.88,9.60931812667,1.236300
"857 HK Equity",CNE1000003W8,HKD,8.74,1.12692763938,7.755600
"EDEN FP Equity",FR0010908533,EUR,22.49,26.8441155407,.837800
"EXPN LN Equity",GB00B19NLV48,GBp,1071,16.3361805979,.655600
"MS IM Equity",IT0001063210,EUR,3.26,3.891143471,.837800
"ENI IM Equity",IT0003132476,EUR,13.37,15.9584626402,.837800
"7974 JP Equity",JP3756600007,JPY,12320,103.027262084,119.580000
"AMS SM Equity",ES0109067019,EUR,32.36,38.6249701599,.837800
"SGE LN Equity",GB00B8C3BL03,GBp,467.8,7.13544844417,.655600
"ULVR LN Equity",GB00B10RZP78,GBp,2573,39.2464917633,.655600
"UNA NA Equity",NL0000009355,EUR,31.6,37.7178324182,.837800
"HEN3 GR Equity",DE0006048432,EUR,87.37,104.285032227,.837800
"4452 JP Equity",JP3205800000,JPY,4764.5,39.8436193343,119.580000
"386 HK Equity",CNE1000002Q2,HKD,6.36,0.820052607148,7.755600
"SW FP Equity",FR0000121220,EUR,79.47,94.8555741227,.837800
"IFX GR Equity",DE0006231004,EUR,8.69,10.372403915,.837800
"5020 JP Equity",JP3386450005,JPY,467.1,3.9061716006,119.580000
"STM IM Equity",NL0000226223,EUR,6.13,7.31678204822,.837800
"CPG LN Equity",GB00BLNN3L44,GBp,1076,16.4124466138,.655600
"MMB FP Equity",FR0000130213,EUR,21.2,25.3043685844,.837800
"8113 JP Equity",JP3951600000,JPY,2923.5,24.4480682388,119.580000
"SCAB SS Equity",SE0000112724,SEK,167.1,21.0971529575,7.920500
"DMGT LN Equity",GB0009457366,GBp,805,12.278828554,.655600
"PSON LN Equity",GB0006776081,GBp,1160,17.6937156803,.655600
"9064 JP Equity",JP3940000007,JPY,2441,20.4131125606,119.580000
"2317 TT Equity",TW0002317005,TWD,87.2,2.72704528396,31.976000
"2330 TT Equity",TW0002330008,TWD,139.5,4.36264698524,31.976000
"6460 JP Equity",JP3419050004,JPY,1580,13.2129118582,119.580000
"700 HK Equity",KYG875721634,HKD,113.5,14.6345866213,7.755600
"4689 JP Equity",JP3933800009,JPY,434,3.62936945978,119.580000
"RHC AU Equity",AU000000RHC8,AUD,57.78,46.7362290706,1.236300
"NOVOB DC Equity",DK0060534915,DKK,265.7,42.6142742582,6.235000
"ADS GR Equity",DE000A1EWWW0,EUR,54.72,65.3139174027,.837800
"QSR CN Equity",CA76131D1033,CAD,44.42,37.8139099345,1.174700
"6963 JP Equity",JP3982800009,JPY,7380,61.7160060211,119.580000
"SN/ LN Equity",GB0009223206,GBp,1175,17.9225137279,.655600
"QGEN US Equity",NL0000240000,USD,23.26,23.26,1
"SAP GR Equity",DE0007164600,EUR,56.25,67.140128909,.837800
"CCL AU Equity",AU000000CCL2,AUD,9.19,7.43347084041,1.236300
"2897 JP Equity",JP3675600005,JPY,5710,47.7504599431,119.580000
"FEMSAUBD MM Equity",MXP320321310,MXN,124.07,8.30621945504,14.937000
"ALU FP Equity",FR0000130007,EUR,2.87,3.42563857723,.837800
"ERICB SS Equity",SE0000108656,SEK,94.75,11.9626286219,7.920500
"LONN VX Equity",CH0013841017,CHF,113.9,113.130711164,1.006800
"RB/ LN Equity",GB00B24CGK77,GBp,5180,79.0115924344,.655600
"CCT CN Equity",CA1488871023,CAD,59.36,50.5320507364,1.174700
"DSY FP Equity",FR0000130650,EUR,50.66,60.4678920984,.837800
"HEXAB SS Equity",SE0000103699,SEK,243.9,30.7935105107,7.920500
"PRI US Equity",US74164M1080,USD,52.79,52.79,1
"PL US Equity",US7436741034,USD,69.68,69.68,1
"RJF US Equity",US7547301090,USD,55.54,55.54,1
"SFG US Equity",US8528911006,USD,68.39,68.39,1
"KMPR US Equity",US4884011002,USD,35.25,35.25,1
"THG US Equity",US4108671052,USD,69.23,69.23,1
"LHO US Equity",US5179421087,USD,40.78,40.78,1
"HPT US Equity",US44106M1027,USD,31.37,31.37,1
"MCY US Equity",US5894001008,USD,54.79,54.79,1
"ORI US Equity",US6802231042,USD,14.29,14.29,1
"HCC US Equity",US4041321021,USD,52.79,52.79,1
"AFG US Equity",US0259321042,USD,59.46,59.46,1
"WRB US Equity",US0844231029,USD,50.2,50.2,1
"TR US Equity",US8905161076,USD,29.82,29.82,1
"UTHR US Equity",US91307C1027,USD,126.83,126.83,1
"SMG US Equity",US8101861065,USD,60.18,60.18,1
"THOR US Equity",US8851753074,USD,33.08,33.08,1
"SVU US Equity",US8685361037,USD,9.35,9.35,1
"LXK US Equity",US5297711070,USD,40.67,40.67,1
"WGL US Equity",US92924F1066,USD,53.51,53.51,1
"TDS US Equity",US8794338298,USD,23.95,23.95,1
"RVBD US Equity",US7685731074,USD,20.43,20.43,1
"UNFI US Equity",US9111631035,USD,75.11,75.11,1
"LAMR US Equity",US5128161099,USD,53.05,53.05,1
"TRMB US Equity",US8962391004,USD,26.03,26.03,1
"MUSA US Equity",US6267551025,USD,67.16,67.16,1
"INT US Equity",US9814751064,USD,46.84,46.84,1
"CST US Equity",US12646R1059,USD,43.5,43.5,1
"WNR US Equity",US9593191045,USD,35.94,35.94,1
"HFC US Equity",US4361061082,USD,36.78,36.78,1
"TUP US Equity",US8998961044,USD,60.65,60.65,1
